"Date","Price","Open","High","Low","Vol.","Change %"
"2024/07/02","93,242,960","94,292,464","94,838,872","92,980,832","0.01K","-1.11%"
"2024/07/01","94,292,464","93,739,304","95,687,040","93,592,312","0.01K","0.59%"
"2024/06/30","93,739,304","90,622,016","93,897,984","90,500,112","0.01K","3.44%"
"2024/06/29","90,622,016","90,248,592","96,000,000","90,100,008","0.01K","0.41%"
"2024/06/28","90,248,592","91,996,416","92,999,776","89,518,296","0.01K","-1.90%"
"2024/06/27","91,996,416","91,969,744","94,274,608","91,500,000","0.01K","0.03%"
"2024/06/26","91,969,744","92,340,008","93,565,128","91,459,944","0.01K","-0.40%"
"2024/06/25","92,340,008","89,514,376","92,908,008","89,455,432","0.01K","3.16%"
"2024/06/24","89,514,376","94,500,000","94,999,672","87,000,000","0.01K","-5.28%"
"2024/06/23","94,500,000","95,501,000","96,066,696","94,500,000","0.00K","-1.05%"
"2024/06/22","95,501,000","95,252,160","95,910,000","95,068,872","0.00K","0.26%"
"2024/06/21","95,252,160","96,601,568","96,807,992","94,500,000","0.01K","-1.40%"
"2024/06/20","96,601,568","96,401,000","98,600,120","93,511,008","0.01K","0.21%"
"2024/06/19","96,401,000","96,000,264","97,000,000","95,765,096","0.01K","0.42%"
"2024/06/18","96,000,264","98,302,320","98,900,000","94,933,600","0.01K","-2.34%"
"2024/06/17","98,302,320","97,941,656","99,250,000","96,212,000","0.01K","0.37%"
"2024/06/16","97,941,656","96,401,000","98,400,000","96,001,000","0.01K","1.60%"
"2024/06/15","96,401,000","96,661,800","97,666,736","92,151,000","0.01K","-0.27%"
"2024/06/14","96,661,800","98,099,952","98,999,200","95,893,504","0.01K","-1.47%"
"2024/06/13","98,099,952","100,800,000","102,407,000","98,099,952","0.01K","-2.68%"
"2024/06/12","100,800,000","99,100,000","103,200,000","98,841,552","0.01K","1.72%"
"2024/06/11","99,100,000","102,030,000","102,199,648","97,283,000","0.01K","-2.87%"
"2024/06/10","102,030,000","102,688,104","103,064,024","101,193,000","0.01K","-0.64%"
"2024/06/09","102,688,104","101,375,016","102,689,856","100,600,600","0.00K","1.30%"
"2024/06/08","101,375,016","101,700,000","102,439,504","100,000,000","0.01K","-0.32%"
"2024/06/07","101,700,000","103,401,000","105,121,256","100,445,392","0.01K","-1.65%"
"2024/06/06","103,401,000","104,640,456","104,999,000","101,000,000","0.01K","-1.18%"
"2024/06/05","104,640,456","103,400,000","105,599,968","103,310,912","0.01K","1.20%"
"2024/06/04","103,400,000","100,029,344","103,999,904","99,301,136","0.01K","3.37%"
"2024/06/03","100,029,344","98,920,376","102,229,952","98,801,000","0.01K","1.12%"
"2024/06/02","98,920,376","98,575,000","99,599,800","97,510,000","0.00K","0.35%"
"2024/06/01","98,575,000","97,903,224","98,908,248","97,502,112","0.01K","0.69%"
"2024/05/31","97,903,224","99,514,256","100,023,368","96,506,000","0.01K","-1.62%"
"2024/05/30","99,514,256","97,301,344","101,914,992","97,301,344","0.01K","2.27%"
"2024/05/29","97,301,344","97,007,168","99,000,000","96,504,160","0.01K","0.30%"
"2024/05/28","97,007,168","103,000,000","103,880,128","96,675,080","0.01K","-5.82%"
"2024/05/27","103,000,000","102,101,320","104,696,344","102,050,008","0.01K","0.88%"
"2024/05/26","102,101,320","102,465,952","103,681,664","102,030,136","0.00K","-0.36%"
"2024/05/25","102,465,952","101,570,552","103,239,520","100,860,256","0.01K","0.88%"
"2024/05/24","101,570,552","100,873,776","101,961,392","98,500,000","0.01K","0.69%"
"2024/05/23","100,873,776","103,007,968","104,784,304","99,150,008","0.01K","-2.07%"
"2024/05/22","103,007,968","102,650,000","104,440,000","101,966,608","0.01K","0.35%"
"2024/05/21","102,650,000","103,489,264","104,499,536","101,305,256","0.01K","-0.81%"
"2024/05/20","103,489,264","94,957,760","103,491,368","94,957,760","0.01K","8.98%"
"2024/05/19","94,957,760","96,378,576","98,000,000","94,671,008","0.01K","-1.47%"
"2024/05/18","96,378,576","96,541,496","97,539,032","94,244,536","0.01K","-0.17%"
"2024/05/17","96,541,496","95,500,256","99,980,000","87,123,456","0.01K","1.09%"
"2024/05/16","95,500,256","100,096,944","108,500,000","91,124,008","0.01K","-4.59%"
"2024/05/15","100,096,944","93,300,008","100,998,736","93,000,000","0.01K","7.29%"
"2024/05/14","93,300,008","94,002,000","94,682,768","92,501,000","0.01K","-0.75%"
"2024/05/13","94,002,000","90,631,368","95,199,920","80,000,496","0.01K","3.72%"
"2024/05/12","90,631,368","88,911,392","91,000,320","88,556,280","0.01K","1.93%"
"2024/05/11","88,911,392","88,499,312","89,900,000","87,319,464","0.01K","0.47%"
"2024/05/10","88,499,312","90,530,000","92,500,000","87,558,320","0.01K","-2.24%"
"2024/05/09","90,530,000","87,500,040","90,800,000","85,095,000","0.01K","3.46%"
"2024/05/08","87,500,040","87,815,016","89,271,000","86,811,408","0.01K","-0.36%"
"2024/05/07","87,815,016","88,140,000","90,750,000","87,000,000","0.01K","-0.37%"
"2024/05/06","88,140,000","88,155,104","91,001,456","85,000,000","0.01K","-0.02%"
"2024/05/05","88,155,104","87,500,040","89,000,000","86,000,008","0.01K","0.75%"
"2024/05/04","87,500,040","85,399,984","89,990,000","84,755,024","0.01K","2.46%"
"2024/05/03","85,399,984","79,153,760","86,106,000","79,000,000","0.01K","7.89%"
"2024/05/02","79,153,760","77,360,960","80,665,760","75,000,008","0.01K","2.32%"
"2024/05/01","77,360,960","79,831,296","81,500,000","74,697,000","0.01K","-3.09%"
"2024/04/30","79,831,296","83,104,512","83,862,080","78,169,000","0.01K","-3.94%"
"2024/04/29","83,104,512","84,500,000","85,231,248","83,000,000","0.01K","-1.65%"
"2024/04/28","84,500,000","83,100,000","87,000,000","81,800,000","0.01K","1.68%"
"2024/04/27","83,100,000","79,301,688","83,324,560","78,765,904","0.01K","4.79%"
"2024/04/26","79,301,688","83,900,000","86,495,984","79,301,688","0.01K","-5.48%"
"2024/04/25","83,900,000","86,200,000","91,000,000","82,609,096","0.01K","-2.67%"
"2024/04/24","86,200,000","85,000,528","88,123,656","84,573,992","0.01K","1.41%"
"2024/04/23","85,000,528","83,500,000","86,144,608","82,823,256","0.01K","1.80%"
"2024/04/22","83,500,000","79,952,048","85,000,000","78,301,312","0.01K","4.44%"
"2024/04/21","79,952,048","79,085,792","81,000,000","78,108,888","0.01K","1.10%"
"2024/04/20","79,085,792","77,200,408","81,305,912","76,824,464","0.01K","2.44%"
"2024/04/19","77,200,408","74,509,984","81,000,000","72,652,000","0.01K","3.61%"
"2024/04/18","74,509,984","70,740,288","77,301,224","68,508,008","0.01K","5.33%"
"2024/04/17","70,740,288","70,064,544","73,500,000","67,500,000","0.01K","0.96%"
"2024/04/16","70,064,544","70,011,224","70,665,192","66,075,000","0.01K","0.08%"
"2024/04/15","70,011,224","72,919,920","74,400,000","69,103,968","0.01K","-3.99%"
"2024/04/14","72,919,920","71,209,584","74,784,952","70,052,352","0.01K","2.40%"
