"Date","Price","Open","High","Low","Vol.","Change %"
"2024/06/19","17.9605","18.0466","18.0553","17.9171","","-0.40%"
"2024/06/18","18.0334","18.2509","18.2933","18.0310","","-1.17%"
"2024/06/17","18.2476","18.3775","18.4067","18.2032","","-0.50%"
"2024/06/14","18.3389","18.4289","18.5067","18.3015","","-0.44%"
"2024/06/13","18.4195","18.3756","18.5409","18.3160","","0.25%"
"2024/06/12","18.3740","18.5910","18.6636","18.2827","","-1.21%"
"2024/06/11","18.5982","18.7219","18.7812","18.5340","","-0.67%"
"2024/06/10","18.7236","18.8680","18.9316","18.6894","","-0.73%"
"2024/06/07","18.8605","18.9252","19.0110","18.7593","","-0.53%"
"2024/06/06","18.9607","18.9306","19.0156","18.8720","","0.18%"
"2024/06/05","18.9258","18.7094","18.9890","18.6545","","1.23%"
"2024/06/04","18.6963","18.5075","18.7810","18.4807","","1.10%"
"2024/06/03","18.4931","18.8154","18.8895","18.4879","","-1.67%"
"2024/05/31","18.8079","18.7450","18.9063","18.6315","","0.36%"
"2024/05/30","18.7401","18.4202","18.7875","18.3678","","1.93%"
"2024/05/29","18.3860","18.2982","18.4683","18.2177","","0.61%"
"2024/05/28","18.2749","18.3690","18.4349","18.2645","","-0.44%"
"2024/05/27","18.3551","18.4319","18.4709","18.3223","","-0.45%"
"2024/05/24","18.4386","18.4662","18.5061","18.3618","","-0.17%"
"2024/05/23","18.4704","18.2614","18.4974","18.2250","","1.17%"
"2024/05/22","18.2569","18.0849","18.3075","18.0315","","0.97%"
"2024/05/21","18.0821","18.2233","18.2391","18.0263","","-0.64%"
"2024/05/20","18.1991","18.1557","18.2967","18.1054","","0.28%"
"2024/05/17","18.1482","18.2033","18.2992","18.1318","","-0.26%"
"2024/05/16","18.1958","18.2796","18.3133","18.1754","","-0.35%"
"2024/05/15","18.2588","18.3784","18.4172","18.2545","","-0.50%"
"2024/05/14","18.3513","18.3429","18.4823","18.3398","","-0.06%"
"2024/05/13","18.3624","18.4525","18.4721","18.2971","","-0.45%"
"2024/05/10","18.4450","18.4675","18.5140","18.3815","","-0.14%"
"2024/05/09","18.4700","18.6150","18.6514","18.4368","","-0.47%"
"2024/05/08","18.5576","18.5035","18.6798","18.4700","","0.25%"
"2024/05/07","18.5121","18.4320","18.5643","18.4279","","0.27%"
"2024/05/06","18.4625","18.4872","18.5564","18.3725","","-0.18%"
"2024/05/03","18.4967","18.5753","18.6049","18.3923","","-0.42%"
"2024/05/02","18.5751","18.6014","18.7014","18.4895","","-0.06%"
"2024/05/01","18.5861","18.7834","18.8129","18.5441","","-0.90%"
"2024/04/30","18.7556","18.6450","18.8489","18.6313","","0.76%"
"2024/04/29","18.6142","18.8467","18.8467","18.6133","","-1.19%"
"2024/04/26","18.8392","19.0304","19.0979","18.7198","","-1.03%"
"2024/04/25","19.0354","19.2106","19.2458","18.9242","","-0.93%"
"2024/04/24","19.2141","19.1064","19.2670","19.0735","","0.53%"
"2024/04/23","19.1129","19.1961","19.2731","19.0905","","-0.39%"
"2024/04/22","19.1883","19.1111","19.2033","19.0495","","0.44%"
"2024/04/19","19.1036","19.1506","19.3908","19.0623","","-0.21%"
"2024/04/18","19.1436","19.0253","19.2086","18.9222","","0.63%"
"2024/04/17","19.0229","19.0523","19.1117","18.9147","","-0.09%"
"2024/04/16","19.0395","18.9696","19.1154","18.9485","","0.28%"
"2024/04/15","18.9861","18.8630","19.0568","18.7941","","0.68%"
"2024/04/12","18.8578","18.7341","18.9820","18.6486","","0.68%"
"2024/04/11","18.7310","18.7332","18.8508","18.6797","","0.04%"
"2024/04/10","18.7228","18.4564","18.8106","18.4333","","1.41%"
"2024/04/09","18.4616","18.6425","18.6526","18.4093","","-0.92%"
"2024/04/08","18.6321","18.6752","18.7495","18.5368","","-0.19%"
"2024/04/05","18.6677","18.7132","18.7750","18.5782","","-0.21%"
"2024/04/04","18.7076","18.6714","18.7533","18.5692","","0.23%"
"2024/04/03","18.6638","18.7733","18.8622","18.6425","","-0.56%"
"2024/04/02","18.7694","18.9007","19.0102","18.7439","","-0.86%"
"2024/04/01","18.9324","18.9342","19.0287","18.7897","","0.06%"
"2024/03/29","18.9214","18.9329","18.9594","18.8410","","-0.08%"
"2024/03/28","18.9368","18.9072","19.1091","18.8876","","0.21%"
"2024/03/27","18.8967","18.9804","19.0089","18.8708","","-0.25%"
"2024/03/26","18.9450","18.9104","19.0032","18.8494","","0.33%"
"2024/03/25","18.8823","19.0063","19.0373","18.8571","","-0.55%"
"2024/03/22","18.9868","18.8263","19.0695","18.8019","","0.94%"
"2024/03/21","18.8107","18.7380","18.8780","18.6448","","0.61%"
"2024/03/20","18.6961","18.9189","18.9737","18.6678","","-1.07%"
"2024/03/19","18.8975","18.9459","19.0345","18.8911","","-0.25%"
"2024/03/18","18.9452","18.7528","19.0042","18.7465","","1.12%"
"2024/03/15","18.7360","18.7348","18.7896","18.6409","","0.04%"
"2024/03/14","18.7292","18.5751","18.7971","18.5542","","0.84%"
"2024/03/13","18.5740","18.7264","18.7595","18.5028","","-0.46%"
"2024/03/12","18.6600","18.6896","18.7726","18.5440","","-0.06%"
"2024/03/11","18.6704","18.7626","18.8568","18.6283","","-0.23%"
"2024/03/08","18.7138","18.6810","18.7731","18.5765","","0.22%"
"2024/03/07","18.6729","18.8246","18.8750","18.6688","","-0.80%"
"2024/03/06","18.8243","18.9762","19.0028","18.7838","","-0.74%"
"2024/03/05","18.9648","19.0421","19.1017","18.8899","","-0.32%"
"2024/03/04","19.0254","19.1225","19.1288","19.0014","","-0.46%"
"2024/03/01","19.1125","19.2126","19.2490","19.0781","","-0.49%"
"2024/02/29","19.2061","19.2232","19.3314","19.1544","","-0.28%"
"2024/02/28","19.2601","19.0975","19.3265","19.0746","","0.84%"
"2024/02/27","19.1003","19.2946","19.3272","19.0545","","-1.02%"
"2024/02/26","19.2968","19.3229","19.3613","19.2500","","-0.05%"
"2024/02/23","19.3058","19.1536","19.3953","19.1043","","0.83%"
"2024/02/22","19.1475","18.9289","19.1895","18.8216","","1.19%"
"2024/02/21","18.9227","18.9257","18.9723","18.7582","","0.12%"
"2024/02/20","18.8996","18.9812","19.0825","18.8810","","-0.35%"
"2024/02/19","18.9652","18.8346","19.0093","18.8346","","0.48%"
"2024/02/16","18.8748","18.9657","18.9922","18.8337","","-0.35%"
"2024/02/15","18.9405","19.0413","19.0882","18.8899","","-0.48%"
"2024/02/14","19.0312","19.1066","19.1993","19.0254","","-0.37%"
"2024/02/13","19.1028","18.9069","19.1817","18.7941","","1.00%"
"2024/02/12","18.9140","19.0200","19.0780","18.9024","","-0.56%"
"2024/02/09","19.0199","18.9599","19.0711","18.9128","","0.34%"
"2024/02/08","18.9555","18.8854","19.0055","18.8645","","0.37%"
"2024/02/07","18.8861","18.8347","18.9449","18.8015","","0.29%"
"2024/02/06","18.8324","19.0678","19.0987","18.8193","","-1.21%"
"2024/02/05","19.0627","18.8957","19.1094","18.8607","","0.86%"
"2024/02/02","18.8997","18.5946","18.9352","18.5507","","1.67%"
"2024/02/01","18.5892","18.6749","18.7796","18.5596","","-0.45%"
"2024/01/31","18.6739","18.8084","18.8510","18.5674","","-0.69%"
"2024/01/30","18.8032","18.8043","18.9216","18.7647","","0.05%"
"2024/01/29","18.7940","18.7614","18.8617","18.7417","","0.09%"
"2024/01/26","18.7775","18.8657","18.9599","18.7197","","-0.42%"
"2024/01/25","18.8574","18.8921","18.9501","18.8046","","-0.11%"
"2024/01/24","18.8783","19.0371","19.0671","18.7925","","-0.83%"
"2024/01/23","19.0366","19.1877","19.2364","18.9821","","-0.83%"
"2024/01/22","19.1966","19.0161","19.2218","19.0040","","0.99%"
"2024/01/19","19.0089","18.9396","19.0856","18.8990","","0.43%"
"2024/01/18","18.9278","19.0597","19.1252","18.8731","","-0.65%"
"2024/01/17","19.0518","18.9713","19.1907","18.9522","","0.46%"
"2024/01/16","18.9649","18.6980","19.0082","18.6325","","1.45%"
"2024/01/15","18.6947","18.6158","18.7194","18.6152","","0.48%"
"2024/01/12","18.6056","18.6432","18.7052","18.5345","","-0.17%"
"2024/01/11","18.6367","18.6887","18.7428","18.5637","","-0.22%"
"2024/01/10","18.6774","18.6338","18.7598","18.5916","","-0.10%"
"2024/01/09","18.6962","18.6060","18.7285","18.5627","","0.53%"
"2024/01/08","18.5979","18.6725","18.8144","18.5560","","-0.41%"
"2024/01/05","18.6752","18.7190","18.9655","18.5867","","-0.11%"
"2024/01/04","18.6952","18.7199","18.7768","18.6016","","-0.04%"
"2024/01/03","18.7021","18.5773","18.8459","18.4879","","0.80%"
"2024/01/02","18.5529","18.3520","18.6007","18.2600","","1.48%"
"2024/01/01","18.2822","18.2822","18.2822","18.2822","","0.00%"
"2023/12/29","18.2822","18.5432","18.6090","18.2486","","-1.35%"
"2023/12/28","18.5320","18.3871","18.6162","18.3029","","0.83%"
"2023/12/27","18.3791","18.6331","18.6870","18.3284","","-1.31%"
"2023/12/26","18.6234","18.4529","18.7507","18.4258","","1.14%"
"2023/12/25","18.4133","18.4467","18.4998","18.4208","","-0.16%"
"2023/12/22","18.4421","18.3639","18.5532","18.3444","","0.51%"
"2023/12/21","18.3481","18.3221","18.4282","18.2062","","0.17%"
"2023/12/20","18.3171","18.3174","18.4020","18.2239","","0.05%"
"2023/12/19","18.3084","18.5915","18.6406","18.3030","","-1.45%"
"2023/12/18","18.5770","18.3517","18.6665","18.2535","","1.27%"
"2023/12/15","18.3442","18.3184","18.4361","18.1056","","0.08%"
"2023/12/14","18.3304","18.6798","18.7183","18.2696","","-1.85%"
"2023/12/13","18.6765","18.9650","19.1042","18.6273","","-1.44%"
"2023/12/12","18.9501","19.1239","19.1239","18.8379","","-0.67%"
"2023/12/11","19.0784","18.9640","19.1439","18.9489","","0.67%"
"2023/12/08","18.9511","18.7606","19.0093","18.7352","","1.04%"
"2023/12/07","18.7569","18.9634","19.0002","18.7243","","-1.08%"
"2023/12/06","18.9610","18.9683","19.0084","18.8203","","0.11%"
"2023/12/05","18.9411","18.8096","19.0266","18.7514","","0.75%"
"2023/12/04","18.7997","18.6902","18.8766","18.5720","","0.94%"
"2023/12/01","18.6254","18.8550","18.9021","18.5938","","-1.20%"
"2023/11/30","18.8524","18.7579","18.9767","18.6670","","0.54%"
"2023/11/29","18.7511","18.6018","18.7644","18.4579","","0.83%"
"2023/11/28","18.5959","18.6628","18.7610","18.5715","","-0.31%"
"2023/11/27","18.6539","18.8363","18.8521","18.6182","","-0.88%"
"2023/11/24","18.8204","18.8099","18.9629","18.7533","","0.11%"
"2023/11/23","18.7998","18.8861","18.8979","18.6999","","-0.39%"
"2023/11/22","18.8737","18.6460","18.9056","18.5609","","1.35%"
"2023/11/21","18.6232","18.3403","18.6651","18.2651","","1.58%"
"2023/11/20","18.3335","18.3764","18.4603","18.2372","","-0.19%"
"2023/11/17","18.3689","18.3679","18.4380","18.2563","","0.08%"
"2023/11/16","18.3538","18.1782","18.4312","18.1467","","0.99%"
"2023/11/15","18.1746","18.2248","18.2778","18.1080","","-0.29%"
"2023/11/14","18.2281","18.7212","18.7856","18.2076","","-2.57%"
"2023/11/13","18.7097","18.7550","18.8062","18.6475","","-0.04%"
"2023/11/10","18.7163","18.6581","18.8151","18.6124","","0.37%"
"2023/11/09","18.6464","18.4729","18.6917","18.4366","","0.97%"
"2023/11/08","18.4674","18.3412","18.5490","18.3118","","0.86%"
"2023/11/07","18.3105","18.2959","18.4396","18.2267","","0.11%"
"2023/11/06","18.2908","18.2738","18.3687","18.1532","","0.22%"
"2023/11/03","18.2509","18.4188","18.4841","18.1985","","-0.91%"
"2023/11/02","18.4181","18.5295","18.5658","18.3105","","-0.51%"
"2023/11/01","18.5130","18.6448","18.7546","18.4907","","-0.69%"
"2023/10/31","18.6424","18.8575","18.9541","18.6176","","-1.15%"
"2023/10/30","18.8584","18.8669","18.8796","18.7402","","0.06%"
"2023/10/27","18.8479","18.9641","18.9914","18.7386","","-0.57%"
"2023/10/26","18.9558","19.1013","19.2783","18.9180","","-0.82%"
"2023/10/25","19.1127","19.0357","19.2041","18.9755","","0.39%"
"2023/10/24","19.0382","18.9145","19.1391","18.8511","","0.43%"
"2023/10/23","18.9562","19.0142","19.1504","18.9003","","-0.14%"
"2023/10/20","18.9832","19.0216","19.1520","18.9225","","-0.16%"
"2023/10/19","19.0144","18.9870","19.1618","18.9135","","0.17%"
"2023/10/18","18.9825","18.8048","19.0848","18.6917","","0.88%"
"2023/10/17","18.8165","18.7924","18.9205","18.7064","","0.24%"
"2023/10/16","18.7712","18.9758","19.0060","18.7551","","-1.10%"
"2023/10/13","18.9804","19.0088","19.0462","18.8490","","-0.19%"
"2023/10/12","19.0162","18.8285","19.0563","18.7759","","1.05%"
"2023/10/11","18.8194","19.0293","19.0728","18.7836","","-1.03%"
"2023/10/10","19.0157","19.3478","19.3675","18.9930","","-1.65%"
"2023/10/09","19.3356","19.3696","19.4466","19.2857","","0.21%"
"2023/10/06","19.2956","19.5259","19.6441","19.2556","","-1.11%"
"2023/10/05","19.5129","19.3351","19.6439","19.2679","","0.97%"
